"Feature","v2.fresh.N","v2.frozen.N","v2.fresh.mean","v2.frozen.mean","v2.tt.log.Pval.fresh.vs.frozen","v3.fresh.N","v3.frozen.N","v3.fresh.mean","v3.frozen.mean","v3.tt.log.Pval.fresh.vs.frozen","v4.fresh.N","v4.frozen.N","v4.fresh.mean","v4.frozen.mean","v4.tt.log.Pval.fresh.vs.frozen","v67.fresh.N","v67.frozen.N","v67.fresh.mean","v67.frozen.mean","v67.tt.log.Pval.fresh.vs.frozen","glm.std.Type.Coef","glm.std.Type.Pval","glm.std.Type.adjPval","glm.log.Type.Coef","glm.log.Type.Pval","glm.log.Type.adjPval"
"k.Bacteria.p.Firmicutes.c.Bacilli.o.Lactobacillales.f.Streptococcaceae.g.Streptococcus.s.Streptococcus_parasanguinis","3","3","0.0298654291502258","0.0342698294086464","0.716536175328513","3","3","0.0969522827125128","0.102799583371423","0.500110003521945","3","3","0.0889427312211214","0.0942705439047365","0.644958864708648","3","3","0.01","0.01","NaN","0.00389487840023641","0.866264217839559",0.994477603962546,"-0.0754714919572877","0.550967670136304",0.997539395672497
"k.Bacteria.p.Firmicutes.c.Bacilli.o.Lactobacillales.f.Streptococcaceae.g.Streptococcus.s.Streptococcus_salivarius","3","3","0.284714217081024","0.279339800105058","0.514626062770158","3","3","0.930468158243135","1.12277678407928","0.523985614223997","3","3","0.682918791880399","0.827255249908077","0.512768749770613","3","3","0.48293625999143","0.56029569481801","0.511748962799545","0.102157525428609","0.583254247649445",0.994477603962546,"-0.123503050411189","0.0736499417544351",0.521214972416002
"k.Bacteria.p.Firmicutes.c.Bacilli.o.Lactobacillales.f.Streptococcaceae.g.Streptococcus.s.unassigned","3","3","0.01","0.01","NaN","3","3","0.923484783994372","0.825716463804384","0.508616306573382","3","3","0.01","0.01","NaN","3","3","0.234105285410255","0.230143304951182","0.438728810052561","-0.0254325751622653","0.891826730712478",0.994477603962546,"-0.0928456169869598","0.465073998575479",0.997539395672497
"k.Bacteria.p.Firmicutes.c.Clostridia.o.Clostridiales.f.Family_XI.g.Anaerococcus.s.Anaerococcus_hydrogenalis","3","3","1.03908162909084","0.78594388081584","0.847560354792119","3","3","1.05587370510076","1.45420191018921","0.739122090460264","3","3","0.01","0.01","NaN","3","3","0.23082588878551","0.316061215968763","0.394361415532954","0.0576064459991777","0.811892353146818",0.994477603962546,"0.0272355324676099","0.882149649818175",0.997539395672497
"k.Bacteria.p.Firmicutes.c.Clostridia.o.Clostridiales.f.Family_XI.g.Anaerococcus.s.Anaerococcus_lactolyticus","3","3","0.01","0.01","NaN","3","3","0.41536318458445","0.138406849830127","0.944251969242096","3","3","0.933225813099265","1.03191814125414","0.36808454477062","3","3","0.0145941549979547","0.0142653178226305","0.422649730810374","-0.0446482109436923","0.667602758605802",0.994477603962546,"0.0168187927037012","0.926733069262123",0.997539395672497
"k.Bacteria.p.Firmicutes.c.Clostridia.o.Clostridiales.f.Family_XI.g.Anaerococcus.s.Anaerococcus_octavius","3","3","0.0646639525391052","0.052121824917538","0.665269038260325","3","3","0.303680171193524","0.236818549374731","0.595109281917037","3","3","0.107042768985166","0.080090066611537","0.592611790265692","3","3","0.113592833944398","0.0936155607732768","0.766386398550135","-0.0315834312462773","0.555196942635288",0.994477603962546,"-0.262600771626025","0.160395849635101",0.849481352138985
"k.Bacteria.p.Firmicutes.c.Clostridia.o.Clostridiales.f.Family_XI.g.Anaerococcus.s.Anaerococcus_prevotii","3","3","0.01","0.01","NaN","3","3","1.39840965885172","1.38865602189623","0.584745435569146","3","3","0.940375521478732","0.884370749455351","0.712450944567583","3","3","0.01","0.01","NaN","-0.0164396022447167","0.934374162821211",0.994477603962546,"-0.106413760477758","0.378825463199847",0.997539395672497
"k.Bacteria.p.Firmicutes.c.Clostridia.o.Clostridiales.f.Family_XI.g.Anaerococcus.s.Anaerococcus_vaginalis","3","3","0.0901823259194307","0.141568022583715","0.422649730810374","3","3","4.3542837891057","5.97314972887675","0.249032391176411","3","3","4.65722382217623","7.14176539458491","0.363488372383429","3","3","0.01","0.01","NaN","1.038698302211","0.38633448529694",0.994477603962546,"0.077108687012895","0.671285285313174",0.997539395672497
"k.Bacteria.p.Firmicutes.c.Clostridia.o.Clostridiales.f.Family_XI.g.Ezakiella.s.Sporobacterium_sp","3","3","0.01","0.01","NaN","3","3","0.676889413164851","1.2172355073611","0.165805859127527","3","3","1.63870520903428","2.87692190480321","0.107198938513307","3","3","1.07677829260898","2.03484921993758","0.0550482542551207","0.684158429323444","0.0260894355734737",0.569262418887729,"0.214029227385679","0.0109879475466265",0.25272279357241
"k.Bacteria.p.Firmicutes.c.Clostridia.o.Clostridiales.f.Family_XI.g.Finegoldia.s.Finegoldia_magna","3","3","12.1057524946269","9.27150014574971","0.750687032072544","3","3","16.6400488500925","14.2497191465087","0.971157170001748","3","3","11.2041333181476","9.26147373185281","0.755184858086756","3","3","7.2845970763619","5.81236649887292","0.781498747967072","-2.15986805406118","0.29007912505811",0.994477603962546,"-0.0558383713772034","0.462590147213979",0.997539395672497
"k.Bacteria.p.Firmicutes.c.Clostridia.o.Clostridiales.f.Family_XI.g.Murdochiella.s.Murdochiella_asaccharolytica","3","3","0.143695921904336","0.144165183000288","0.574870652476158","3","3","1.64363026844516","1.69219723070579","0.441356458893055","3","3","1.8190996543362","1.54467227855178","0.33281503417283","3","3","0.0435977584217324","0.04951691512143","0.623956660647846","-0.054867998932033","0.903415759158729",0.994477603962546,"-0.214985865274463","0.0572758845903153",0.483076564644128
"k.Bacteria.p.Firmicutes.c.Clostridia.o.Clostridiales.f.Family_XI.g.Parvimonas.s.Parvimonas_micra","3","3","0.852145300318245","0.684620713227666","0.232252165664211","3","3","0.491436455628996","0.0586894017728967","0.401408165189375","3","3","0.382220705537243","0.321582535328611","0.219471279355424","3","3","0.870629580103244","0.600609177772604","0.185061320374523","-0.232732553371487","0.173230822266625",0.885401980473861,"-0.247437705108851","0.201412089321477",0.926495610878794
"k.Bacteria.p.Firmicutes.c.Clostridia.o.Clostridiales.f.Family_XI.g.Peptoniphilus.s.Candidatus_Peptoniphilus_massiliensis","3","3","0.197223756087734","0.267387927675908","0.422649730810374","3","3","0.01","0.01","NaN","3","3","1.40853452299851","2.06019119107044","0.119031549622739","3","3","0.745110346707671","1.07711658446688","0.151193370549611","0.263456769354828","0.0363924478004383",0.569262418887729,"0.0908909940927329","0.618162998196016",0.997539395672497
"k.Bacteria.p.Firmicutes.c.Clostridia.o.Clostridiales.f.Family_XI.g.Peptoniphilus.s.Peptoniphilus_gorbachii","3","3","2.61871086651873","2.13404329077017","0.592843482186119","3","3","0.01","0.01","NaN","3","3","0.01","0.01","NaN","3","3","1.84373300755003","1.50072710673733","0.578585541245566","-0.206918369140314","0.454854180603134",0.994477603962546,"-0.106601181099171","0.271602497201384",0.997539395672497
"k.Bacteria.p.Firmicutes.c.Clostridia.o.Clostridiales.f.Family_XI.g.Peptoniphilus.s.Peptoniphilus_grossensis","3","3","3.16587984014149","3.20845125436386","0.492062425129811","3","3","0.01","0.01","NaN","3","3","0.01","0.01","NaN","3","3","0.538733360156101","1.00956084514712","0.703585103389921","0.128349724803347","0.840694874194787",0.994477603962546,"-0.0728130119821126","0.753653132538167",0.997539395672497
"k.Bacteria.p.Firmicutes.c.Clostridia.o.Clostridiales.f.Family_XI.g.Peptoniphilus.s.Peptoniphilus_lacrimalis","3","3","0.71143220047934","0.670822138445516","0.766093040463254","3","3","0.145597366226313","0.138182471182874","0.878794863728479","3","3","0.479381966712754","0.472888070003333","0.905480902101628","3","3","0.457334370771426","0.439775893025572","0.743046033320661","-0.0180193328831345","0.836347659154944",0.994477603962546,"-0.0279284359556864","0.728333571770378",0.997539395672497
"k.Bacteria.p.Firmicutes.c.Clostridia.o.Clostridiales.f.Family_XI.g.Peptoniphilus.s.Peptoniphilus_obesi","3","3","0.0425792941438719","0.01","0.422649730810374","3","3","0.0310712565372433","0.0192861230185421","0.508288047292588","3","3","0.0455080145991739","0.0291183873970276","0.588711157720614","3","3","0.043947617626318","0.0227174307194244","0.496502931256305","-0.0204960604429032","0.0556887148911909",0.569262418887729,"-0.229368030404753","0.0630099866927123",0.483076564644128
"k.Bacteria.p.Firmicutes.c.Clostridia.o.Clostridiales.f.Family_XI.g.Peptoniphilus.s.Peptoniphilus_rhinitidis","3","3","0.0640750129088652","0.0573720488761259","0.706691923899757","3","3","0.01","0.01","NaN","3","3","0.01","0.01","NaN","3","3","0.0501935327244836","0.0466614457916117","0.662325498107835","-0.0025587627414028","0.81056410072697",0.994477603962546,"-0.0878590685084675","0.411291285683885",0.997539395672497
