# Constructed from biom file
#OTU ID	Patient1-fresh	Patient1-frozen	Patient2-fresh	Patient2-frozen	Patient3-fresh	Patient3-frozen
8302e487df7c22e83b079a6b78543c6a	1255.0	699.0	0.0	0.0	32.0	0.0
e014dfa2c381e83128a8a9b3056de6b0	302.0	202.0	47.0	25.0	725.0	358.0
962b01b0bd72ca181ba85d79b83cb41a	495.0	626.0	41.0	30.0	378.0	19.0
cd8e54cdeb54dade1ec5f01352f3dad1	561.0	476.0	101.0	76.0	136.0	59.0
157922580bd3f2c858a10e6231ff37ac	135.0	146.0	527.0	522.0	0.0	0.0
70d8d3e777a75aeacaa3e5f56f5f49b9	735.0	490.0	0.0	0.0	0.0	0.0
39800bdeecd9d63c700a5d6b148a8413	677.0	480.0	0.0	0.0	0.0	0.0
6bd19c8a3802f83e4a1a5d9d608d4ad3	686.0	462.0	0.0	0.0	0.0	0.0
b6344e5cf60c7fd95bac23a029c45371	276.0	138.0	76.0	120.0	264.0	212.0
03f2cbb0bfd92663a9f73bb82d352bc7	557.0	466.0	0.0	0.0	0.0	0.0
ea6a566deeeb7daf328c70f3d6e6ad85	639.0	516.0	0.0	0.0	0.0	0.0
e8a8c670a996911f5258e4ed591b8276	0.0	0.0	266.0	446.0	0.0	0.0
f4b151e5934f309eeb80339604109af4	0.0	0.0	374.0	181.0	112.0	40.0
b1c3efc134dcc919f892205fd5b71f71	417.0	277.0	0.0	0.0	0.0	0.0
e64457137cd131e19e4ca8882a5ede55	438.0	240.0	0.0	0.0	0.0	0.0
1cd3533e69104b3b4bf2d03cbf006baa	0.0	0.0	425.0	225.0	0.0	0.0
f99a2b2713f0a4855dcf72141971e906	440.0	194.0	0.0	0.0	0.0	0.0
c4ea8d77bd7e5178a6823c46e6c5ee61	463.0	221.0	445.0	200.0	15.0	0.0
777ef8ceab6dee5c86d6e31c41452940	317.0	259.0	0.0	0.0	0.0	0.0
d487dead8bd4d12dce5917aeb11c0e2f	116.0	76.0	152.0	79.0	82.0	47.0
8bff9aff4e51d62711051dabf07a75a2	361.0	175.0	0.0	0.0	0.0	0.0
331f41edfb81e58e633a65ac0d098881	0.0	0.0	294.0	218.0	0.0	0.0
4f1e122121137efe0ddc9483e9bebf8c	0.0	0.0	300.0	161.0	0.0	0.0
90fe4321909157e3e8df61b5da581fc4	0.0	0.0	211.0	104.0	86.0	43.0
19b38ad8f4960b2343947accbfa5d6a7	307.0	115.0	0.0	0.0	0.0	0.0
8005e4c1113e8f62a03e00b34a11b432	0.0	0.0	264.0	145.0	0.0	0.0
35aed859011cc5418ba76b27d9364834	245.0	123.0	19.0	10.0	0.0	0.0
9dd31e879c453f57445cf9cdfb686def	0.0	0.0	235.0	127.0	27.0	3.0
ba54b0472456f7445113c368836ae425	203.0	109.0	0.0	0.0	72.0	0.0
22744782c667c1eb96855a9dd21a386e	0.0	0.0	0.0	0.0	286.0	97.0
095d979b1109c067d0af98fb44563662	227.0	139.0	0.0	0.0	9.0	0.0
a6a1c7e83306ed8896a470e6e25e3996	177.0	181.0	0.0	0.0	0.0	0.0
8efef007a088e5ea82e4fc10b8fe41c2	196.0	156.0	0.0	0.0	0.0	0.0
93f3725a4567134faa855103aabc6a3c	0.0	0.0	190.0	141.0	0.0	0.0
4ef88c5e472b020c9005e7e33ce0d69c	0.0	0.0	0.0	0.0	211.0	118.0
4733ab76da36913ce26c93f6a01e33de	0.0	9.0	190.0	128.0	0.0	0.0
1c440f3a348c258f90992d8c3c433756	0.0	0.0	197.0	129.0	0.0	0.0
40f3487d9aa464484baf9855525099e0	0.0	0.0	121.0	108.0	77.0	20.0
aa514d28d5a77a32b45facd4da538d0d	0.0	0.0	153.0	106.0	48.0	13.0
88043c7fddca9a62c501d558f4d3686b	0.0	0.0	157.0	130.0	0.0	0.0
112745d1c2dceefd710ea4ee84aa3a76	0.0	0.0	194.0	93.0	0.0	0.0
37c835c2bf1c70ec70c4dd092d1af27c	0.0	0.0	172.0	91.0	21.0	0.0
35b5e9107f6f7aec511856096bd447f4	0.0	0.0	0.0	0.0	130.0	144.0
e762b57758a6f878e983c9cdcf41acab	0.0	0.0	163.0	88.0	0.0	0.0
6ef59cc55e395380324ecf9f8b4bd6cc	139.0	84.0	0.0	0.0	0.0	0.0
1cbf239780426d797f8a629da8c2544c	0.0	0.0	0.0	0.0	91.0	131.0
5e7b55c66b0f821e5fba5f9e3a91177c	0.0	0.0	0.0	0.0	162.0	115.0
9fb7199abbed58fdc99e94862e74d560	63.0	32.0	113.0	60.0	0.0	0.0
facf9ca8bc6f964c03708ba1adc5a6a4	0.0	0.0	31.0	38.0	224.0	32.0
1c88a637d236a21c9a83b82dd8706d28	130.0	70.0	0.0	0.0	0.0	0.0
46c80ac9073fc27c8b22b616fe8f4ce5	0.0	0.0	132.0	63.0	0.0	18.0
4bd22329bd30d8a8bf6f4dd02b855ea9	0.0	0.0	67.0	127.0	0.0	0.0
04f9f29b5a60cac95e7b50f449c325a3	0.0	0.0	0.0	0.0	87.0	104.0
a92cece3acd433d0c67e40aaca2522ba	154.0	122.0	0.0	0.0	0.0	0.0
de241b49043bbae36960ca96a693e4d4	116.0	68.0	0.0	0.0	0.0	0.0
356d0881a2e455721187702aa055493e	126.0	48.0	0.0	0.0	0.0	0.0
9601832d0bdffc6c473ea9175ff672bd	80.0	47.0	30.0	17.0	0.0	0.0
8386becb7ccc9f0892c15b3b23de6b71	0.0	0.0	173.0	99.0	17.0	0.0
92c1fc7682e1d0b6eaade7060b6f591a	116.0	56.0	0.0	0.0	0.0	0.0
d9451b6b35cedd37d4ae99f9e9f229d4	0.0	0.0	100.0	67.0	0.0	0.0
53b7b8fb7ea5ed0c5b2cf5c64866f9a1	0.0	0.0	0.0	0.0	136.0	28.0
16aaaf472c87c97aaedca2769a075120	0.0	0.0	88.0	52.0	23.0	0.0
7e635f721637bb7664685d11e998d4fb	107.0	52.0	0.0	0.0	0.0	0.0
9ef944a4854e7d3e5636c3db265bfca9	86.0	62.0	0.0	0.0	0.0	0.0
b662aea36d4e34f138f0217305677ccb	29.0	0.0	106.0	71.0	0.0	0.0
4d89627567ce127432d75a3eced96682	131.0	113.0	0.0	0.0	0.0	0.0
68ae64b8540374d994597f8f55dd7a0e	0.0	0.0	68.0	61.0	0.0	0.0
bc4f3e74a3546225a2b46ad886c82f7e	79.0	44.0	0.0	0.0	0.0	0.0
4b460236dfa71c1662b1dce0208002d2	0.0	0.0	78.0	43.0	0.0	0.0
2c548264d82b0b684ca95344bd9e69b2	54.0	36.0	16.0	9.0	0.0	0.0
3d1ddca64c69fdaa1ea80b5dc1c99dd3	82.0	30.0	0.0	0.0	0.0	0.0
1b8796f2537c12aa5dc3351c05d753ca	0.0	0.0	0.0	0.0	87.0	24.0
00779a28e0fa94ab90db12d766993ee8	0.0	0.0	69.0	40.0	0.0	0.0
c1cf616a196d36c2baecd39e6ff7344d	0.0	0.0	50.0	56.0	0.0	0.0
4973759e7993ca1596df1e369400fad2	68.0	35.0	0.0	0.0	0.0	0.0
63c27ff98fc09d077a1194f04265ef59	64.0	33.0	0.0	0.0	0.0	0.0
03f03d6a97869c91d1a2b2fe2e0cc7ab	0.0	0.0	0.0	0.0	82.0	15.0
5e8260e4cd82cdda5ff1ce6be37d4636	35.0	34.0	13.0	0.0	14.0	0.0
0ebdf847e975453c4a7fc0bc2b3c1938	56.0	32.0	0.0	0.0	0.0	0.0
ff8d87bd40f00d0e4a3c32050410a587	0.0	0.0	61.0	26.0	0.0	0.0
